"age_group","comor_count","population","hosp_rate","icu_rate","mechvent_rate","death_rate"
"0 - 19 Years",0,6,1,1,1,0.666666666666667
"0 - 19 Years",1,13,1,1,1,0.428571428571429
"0 - 19 Years",2,19,1,1,1,0.466666666666667
"20 - 29 Years",0,30,1,1,1,0.5
"20 - 29 Years",1,54,1,1,1,0.5
"20 - 29 Years",2,42,1,1,1,0.714285714285714
"30 - 39 Years",0,50,1,1,1,0.25
"30 - 39 Years",1,146,1,1,1,0.686274509803922
"30 - 39 Years",2,134,1,1,1,0.776699029126214
"40 - 49 Years",0,101,1,1,1,0.328358208955224
"40 - 49 Years",1,320,1,1,1,0.727678571428571
"40 - 49 Years",2,380,1,1,1,0.8
"50 - 59 Years",0,182,1,1,1,0.474576271186441
"50 - 59 Years",1,654,1,1,1,0.732534930139721
"50 - 59 Years",2,1052,1,1,1,0.831764705882353
"60 - 69 Years",0,182,1,1,1,0.591304347826087
"60 - 69 Years",1,888,1,1,1,0.790070921985816
"60 - 69 Years",2,1704,1,1,1,0.862404447533009
"70 - 79 Years",0,124,1,1,1,0.722222222222222
"70 - 79 Years",1,693,1,1,1,0.858108108108108
"70 - 79 Years",2,1520,1,1,1,0.885524372230428
"80+ Years",0,63,1,1,1,0.862745098039216
"80+ Years",1,435,1,1,1,0.916010498687664
"80+ Years",2,850,1,1,1,0.932569974554707
